from,to,freq,name,length,geometry_type,id,coordx,coordy
54389,54457,0,PROVIDEN,0.005,LineString,a625ngg8lx0y,-71.39851379,41.81158066
NA,NA,NA,NA,NA,NA,a625ngg8lx0y,-71.39499664,41.80804062
54457,54539,209,PROVIDEN,0.004,LineString,a625ngiyj2jh,-71.39499664,41.80804062
NA,NA,NA,NA,NA,NA,a625ngiyj2jh,-71.39230347,41.80524826
54771,55364,558,PROVIDEN,0.032,LineString,a625ngb2zuxr,-71.38157654,41.79368973
NA,NA,NA,NA,NA,NA,a625ngb2zuxr,-71.37663269,41.76173019
54529,54457,104,PROVIDEN,0.006,LineString,a625ng84evz5,-71.39997864,41.80559158
NA,NA,NA,NA,NA,NA,a625ng84evz5,-71.39499664,41.80804062
54539,55364,53554,PROVIDEN,0.052,LineString,a625ngasfacw,-71.39230347,41.80524826
NA,NA,NA,NA,NA,NA,a625ngasfacw,-71.38240051,41.79515076
NA,NA,NA,NA,NA,NA,a625ngasfacw,-71.37149048,41.77819061
NA,NA,NA,NA,NA,NA,a625ngasfacw,-71.37663269,41.76173019
54920,55364,436,PROVIDEN,0.025,LineString,a625ngizuiu1,-71.38829803,41.78421021
NA,NA,NA,NA,NA,NA,a625ngizuiu1,-71.38504028,41.77980042
NA,NA,NA,NA,NA,NA,a625ngizuiu1,-71.37885284,41.7653389
NA,NA,NA,NA,NA,NA,a625ngizuiu1,-71.37663269,41.76173019
54621,54539,104,PROVIDEN,0.006,LineString,a625ng7zc86j,-71.39658356,41.80110168
NA,NA,NA,NA,NA,NA,a625ng7zc86j,-71.39302063,41.80334091
NA,NA,NA,NA,NA,NA,a625ng7zc86j,-71.39230347,41.80524826
55846,56256,29809,PROVIDEN,0.028,LineString,a625ng6pcdpb,-71.36557007,41.73503876
NA,NA,NA,NA,NA,NA,a625ng6pcdpb,-71.36258698,41.72835159
NA,NA,NA,NA,NA,NA,a625ng6pcdpb,-71.34394073,41.71857071
54636,54771,0,PROVIDEN,0.009,LineString,a625ngit51zq,-71.38722992,41.80015182
NA,NA,NA,NA,NA,NA,a625ngit51zq,-71.38157654,41.79368973
54585,54539,104,PROVIDEN,0.006,LineString,a625ng82m4fk,-71.39845276,41.80332947
NA,NA,NA,NA,NA,NA,a625ng82m4fk,-71.39230347,41.80524826
54539,54636,0,PROVIDEN,0.007,LineString,a625ngjkcbyt,-71.39230347,41.80524826
NA,NA,NA,NA,NA,NA,a625ngjkcbyt,-71.38722992,41.80015182
51034,51588,1588,PROVINCE,0.091,LineString,a625ng9cd0x5,-70.18372345,42.04087067
NA,NA,NA,NA,NA,NA,a625ng9cd0x5,-70.14556885,42.02061844
NA,NA,NA,NA,NA,NA,a625ng9cd0x5,-70.18900299,41.99969101
36,10,21109,PRUDHOE,1.209,LineString,a625ngf16ti7,-148.3188019,70.31413269
NA,NA,NA,NA,NA,NA,a625ngf16ti7,-147.8130035,71.41216278
202410,202422,21665,PUERTO R,0.414,LineString,a625ngep4rtt,-65.6638031,17.97180939
NA,NA,NA,NA,NA,NA,a625ngep4rtt,-66.05000305,17.82401085
202420,202419,7176,PUERTO R,0.411,LineString,a625ngkjhfhu,-66.30590057,17.83330917
NA,NA,NA,NA,NA,NA,a625ngkjhfhu,-66.71666718,17.83332062
202423,202385,0,PUERTO R,0.234,LineString,a625ngh3yw4o,-67.2973175,17.8239994
NA,NA,NA,NA,NA,NA,a625ngh3yw4o,-67.33437347,18.05516052
202385,202360,20188,PUERTO R,0.145,LineString,a625ngafdj43,-67.33437347,18.05516052
NA,NA,NA,NA,NA,NA,a625ngafdj43,-67.33437347,18.2000103
202326,202295,105371,PUERTO R,0.606,LineString,a625ngcf01aa,-67.33599854,18.47893906
NA,NA,NA,NA,NA,NA,a625ngcf01aa,-66.75,18.63332939
202422,202420,4469,PUERTO R,0.256,LineString,a625ngboi42r,-66.05000305,17.82401085
NA,NA,NA,NA,NA,NA,a625ngboi42r,-66.30590057,17.83330917
202360,202326,0,PUERTO R,0.279,LineString,a625ngjseszz,-67.33437347,18.2000103
NA,NA,NA,NA,NA,NA,a625ngjseszz,-67.33599854,18.47893906
202424,202423,33200,PUERTO R,0.381,LineString,a625ng5wg52e,-66.91665649,17.8239994
NA,NA,NA,NA,NA,NA,a625ng5wg52e,-67.2973175,17.8239994
202341,202287,820671,PUERTO R,0.735,LineString,a625ng8wiff6,-65.49742126,18.36227989
NA,NA,NA,NA,NA,NA,a625ng8wiff6,-66.16676331,18.66665077
202295,202292,39000,PUERTO R,0.204,LineString,a625ng834yow,-66.75,18.63332939
NA,NA,NA,NA,NA,NA,a625ng834yow,-66.54650879,18.6449604
202292,202287,79216,PUERTO R,0.38,LineString,a625ngetz1uj,-66.54650879,18.6449604
NA,NA,NA,NA,NA,NA,a625ngetz1uj,-66.16676331,18.66665077
202419,202421,1116,PUERTO R,0.032,LineString,a625ngb2k1qa,-66.71666718,17.83332062
NA,NA,NA,NA,NA,NA,a625ngb2k1qa,-66.74902344,17.83073997
202425,202424,0,PUERTO R,0.137,LineString,a625ng8zxthi,-66.77960205,17.8239994
NA,NA,NA,NA,NA,NA,a625ng8zxthi,-66.91665649,17.8239994
202429,202643,588970,PUERTO R,16.874,LineString,a625ng86ice1,-64.73248291,17.7527504
NA,NA,NA,NA,NA,NA,a625ng86ice1,-68.61914825,15.99969959
NA,NA,NA,NA,NA,NA,a625ng86ice1,-72.43789673,14.17835045
NA,NA,NA,NA,NA,NA,a625ng86ice1,-76.19563293,12.29769993
NA,NA,NA,NA,NA,NA,a625ng86ice1,-79.89998627,10.36666965
202643,202287,32,PUERTO R,16.313,LineString,a625nggs8q7w,-79.89998627,10.36666965
NA,NA,NA,NA,NA,NA,a625nggs8q7w,-76.85621643,12.53174019
NA,NA,NA,NA,NA,NA,a625nggs8q7w,-73.76191711,14.66191006
NA,NA,NA,NA,NA,NA,a625nggs8q7w,-70.60814667,16.7503109
NA,NA,NA,NA,NA,NA,a625nggs8q7w,-67.38606262,18.78969002
NA,NA,NA,NA,NA,NA,a625nggs8q7w,-66.16676331,18.66665077
202421,202425,1622,PUERTO R,0.031,LineString,a625ngi2xp4x,-66.74902344,17.83073997
NA,NA,NA,NA,NA,NA,a625ngi2xp4x,-66.77960205,17.8239994
10406,10231,0,PUGET SO,0.08,LineString,a625ng6fu6si,-122.8835907,47.1613884
NA,NA,NA,NA,NA,NA,a625ng6fu6si,-122.8638,47.16727066
NA,NA,NA,NA,NA,NA,a625ng6fu6si,-122.8163986,47.20233154
10222,10092,5121,PUGET SO,0.049,LineString,a625ng57bh8o,-122.607132,47.20389938
NA,NA,NA,NA,NA,NA,a625ng57bh8o,-122.5746994,47.24007034
10320,10222,3834,PUGET SO,0.044,LineString,a625nga7jqw8,-122.6432037,47.17879868
NA,NA,NA,NA,NA,NA,a625nga7jqw8,-122.607132,47.20389938
10477,10320,0,PUGET SO,0.155,LineString,a625ng72ugg5,-122.7662888,47.14287949
NA,NA,NA,NA,NA,NA,a625ng72ugg5,-122.7151031,47.11981964
NA,NA,NA,NA,NA,NA,a625ng72ugg5,-122.6850891,47.12448883
NA,NA,NA,NA,NA,NA,a625ng72ugg5,-122.6432037,47.17879868
10231,10477,6796,PUGET SO,0.078,LineString,a625ngd7f2qk,-122.8163986,47.20233154
NA,NA,NA,NA,NA,NA,a625ngd7f2qk,-122.7662888,47.14287949
10092,9513,0,PUGET SO,0.116,LineString,a625ngjl2d14,-122.5746994,47.24007034
NA,NA,NA,NA,NA,NA,a625ngjl2d14,-122.5383911,47.28757095
NA,NA,NA,NA,NA,NA,a625ngjl2d14,-122.5587082,47.31713867
NA,NA,NA,NA,NA,NA,a625ngjl2d14,-122.5479965,47.33398819
9513,9544,11457,PUGET SO,0.094,LineString,a625ngik2ezm,-122.5479965,47.33398819
NA,NA,NA,NA,NA,NA,a625ngik2ezm,-122.5067978,47.31724167
NA,NA,NA,NA,NA,NA,a625ngik2ezm,-122.4575195,47.32323074
9544,8405,0,PUGET SO,0.334,LineString,a625ngi9fudt,-122.4575195,47.32323074
NA,NA,NA,NA,NA,NA,a625ngi9fudt,-122.3555069,47.38283157
NA,NA,NA,NA,NA,NA,a625ngi9fudt,-122.4056931,47.44577026
NA,NA,NA,NA,NA,NA,a625ngi9fudt,-122.452301,47.57313919
8405,8092,6259,PUGET SO,0.036,LineString,a625ng5ead8b,-122.452301,47.57313919
NA,NA,NA,NA,NA,NA,a625ng5ead8b,-122.4586411,47.60828018
6361,6125,0,PUGET SO,0.081,LineString,a625ng6a9bnt,-122.6607895,47.95523834
NA,NA,NA,NA,NA,NA,a625ng6a9bnt,-122.6503983,47.96282959
NA,NA,NA,NA,NA,NA,a625ng6a9bnt,-122.6380234,48.02931976
5230,5469,18970,PUGET SO,0.272,LineString,a625ng7krfq8,-122.7432327,48.46295929
NA,NA,NA,NA,NA,NA,a625ng7krfq8,-122.7914963,48.40748978
NA,NA,NA,NA,NA,NA,a625ng7krfq8,-122.9745026,48.33049011
8092,7553,9750,PUGET SO,0.051,LineString,a625ng5118y4,-122.4586411,47.60828018
NA,NA,NA,NA,NA,NA,a625ng5118y4,-122.4645309,47.65871811
7553,7154,0,PUGET SO,0.044,LineString,a625ngivu30d,-122.4645309,47.65871811
NA,NA,NA,NA,NA,NA,a625ngivu30d,-122.4553909,47.70204926
7084,6919,9589,PUGET SO,0.046,LineString,a625ng6593uw,-122.4504166,47.71881104
NA,NA,NA,NA,NA,NA,a625ng6593uw,-122.4385223,47.7634697
6659,6919,27943,PUGET SO,0.115,LineString,a625nggr6gpo,-122.379097,47.86214066
NA,NA,NA,NA,NA,NA,a625nggr6gpo,-122.4385223,47.7634697
6659,6479,67657,PUGET SO,0.13,LineString,a625ngc4eakd,-122.379097,47.86214066
NA,NA,NA,NA,NA,NA,a625ngc4eakd,-122.4940033,47.92227936
6479,6125,98929,PUGET SO,0.184,LineString,a625ng7mfzl7,-122.4940033,47.92227936
NA,NA,NA,NA,NA,NA,a625ng7mfzl7,-122.580101,47.96226883
NA,NA,NA,NA,NA,NA,a625ng7mfzl7,-122.6380234,48.02931976
6919,6479,0,PUGET SO,0.168,LineString,a625ngjsjs7y,-122.4385223,47.7634697
NA,NA,NA,NA,NA,NA,a625ngjsjs7y,-122.4940033,47.92227936
6125,5847,0,PUGET SO,0.163,LineString,a625ng8aux0c,-122.6380234,48.02931976
NA,NA,NA,NA,NA,NA,a625ng8aux0c,-122.6623077,48.11186981
NA,NA,NA,NA,NA,NA,a625ng8aux0c,-122.7302017,48.14865875
5847,5744,79136,PUGET SO,0.109,LineString,a625nggl0mwq,-122.7302017,48.14865875
NA,NA,NA,NA,NA,NA,a625nggl0mwq,-122.7817001,48.17697906
NA,NA,NA,NA,NA,NA,a625nggl0mwq,-122.8293304,48.19326019
5349,5744,115233,PUGET SO,0.229,LineString,a625ngjt5mxs,-122.7360992,48.40201187
NA,NA,NA,NA,NA,NA,a625ngjt5mxs,-122.8293304,48.19326019
5879,5847,14171,PUGET SO,0.021,LineString,a625ngafxug7,-122.7116165,48.13859177
NA,NA,NA,NA,NA,NA,a625ngafxug7,-122.7302017,48.14865875
6125,5879,86823,PUGET SO,0.132,LineString,a625ngeg0vin,-122.6380234,48.02931976
NA,NA,NA,NA,NA,NA,a625ngeg0vin,-122.7116165,48.13859177
5469,5689,194352,PUGET SO,0.213,LineString,a625nggtocac,-122.9745026,48.33049011
NA,NA,NA,NA,NA,NA,a625nggtocac,-123.109787,48.2740097
NA,NA,NA,NA,NA,NA,a625nggtocac,-123.1104965,48.20793152
7154,7084,3543,PUGET SO,0.017,LineString,a625ngh8yedb,-122.4553909,47.70204926
NA,NA,NA,NA,NA,NA,a625ngh8yedb,-122.4504166,47.71881104
6919,7054,2165,PUGET SO,0.124,LineString,a625ngf0m6rg,-122.4385223,47.7634697
NA,NA,NA,NA,NA,NA,a625ngf0m6rg,-122.4871902,47.72204971
NA,NA,NA,NA,NA,NA,a625ngf0m6rg,-122.5464935,47.72827911
6125,6361,9506,PUGET SO,0.078,LineString,a625ng9yhf93,-122.6380234,48.02931976
NA,NA,NA,NA,NA,NA,a625ng9yhf93,-122.6607895,47.95523834
202213,202307,10091,PUNALUU,0.578,LineString,a625ng7znxlv,-155.5077972,19.13805008
NA,NA,NA,NA,NA,NA,a625ng7znxlv,-155.404007,18.5699501
3922,4025,4347,PYLADES,0.249,LineString,a625nga11f4j,-123.8792267,49.15879059
NA,NA,NA,NA,NA,NA,a625nga11f4j,-123.7488098,49.12730026
NA,NA,NA,NA,NA,NA,a625nga11f4j,-123.661438,49.05271912
5949,6559,2309274,Pac Dp W,0.214,LineString,a625ngcppkvw,-125.5026932,48.11725998
NA,NA,NA,NA,NA,NA,a625ngcppkvw,-125.5010986,47.90307999
122387,127272,1,Pac Dp W,0.717,LineString,a625ngjiai0q,-122.6334991,37.45050812
NA,NA,NA,NA,NA,NA,a625ngjiai0q,-123.1281128,36.93146896
119887,122467,1,Pac Dp W,0.717,LineString,a625nggmt79j,-122.7482986,37.72525024
NA,NA,NA,NA,NA,NA,a625nggmt79j,-122.8031082,37.70544052
NA,NA,NA,NA,NA,NA,a625nggmt79j,-122.97229,37.64810944
NA,NA,NA,NA,NA,NA,a625nggmt79j,-123.4028015,37.43643951
118979,113512,355985,Pac Dp W,1.282,LineString,a625ngektm9s,-122.808197,37.78918839
NA,NA,NA,NA,NA,NA,a625ngektm9s,-123.086792,37.9160614
NA,NA,NA,NA,NA,NA,a625ngektm9s,-123.9878922,38.29080963
118527,113512,13723622,Pac Dp W,1.295,LineString,a625ngh6vjpf,-122.7863007,37.81684875
NA,NA,NA,NA,NA,NA,a625ngh6vjpf,-123.0483017,37.96401978
NA,NA,NA,NA,NA,NA,a625ngh6vjpf,-123.9878922,38.29080963
32617,32503,1989,Pac Dp W,0.057,LineString,a625ngawowcf,-124.3309174,43.35102081
NA,NA,NA,NA,NA,NA,a625ngawowcf,-124.3851013,43.36808014
29860,29934,0,Pac Dp W,0.044,LineString,a625ngid1tfy,-124.2043762,43.66962051
NA,NA,NA,NA,NA,NA,a625ngid1tfy,-124.2481995,43.66424179
196430,201226,705968,Pac Dp W,20.226,LineString,a625nggn4eza,-179.0164032,28.00527954
NA,NA,NA,NA,NA,NA,a625nggn4eza,-174.2155457,26.72147942
NA,NA,NA,NA,NA,NA,a625nggn4eza,-169.5270386,25.28783035
NA,NA,NA,NA,NA,NA,a625nggn4eza,-164.9517822,23.71888924
